customer_id,age,gender,tenure_months,monthly_usage_minutes,signup_date,is_churned,monthly_revenue,campaign_group,converted
42,54,Female,22,334,2022-01-15 08:04:48.144072036,0,36.49,control,0
43,68,Female,12,276,2022-01-15 16:28:20.050025012,0,21.29,treatment,1
44,24,Female,13,299,2022-01-16 00:51:51.955977989,0,44.15,treatment,0
45,38,Male,3,411,2022-01-16 09:15:23.861930965,0,35.3,treatment,1
46,26,Male,22,359,2022-01-16 17:38:55.767883942,1,27.89,control,0
47,56,Female,12,569,2022-01-17 02:02:27.673836918,0,43.69,treatment,1
48,35,Female,2,507,2022-01-17 10:25:59.579789895,0,38.25,control,1
49,21,Male,2,339,2022-01-17 18:49:31.485742871,0,32.95,control,0
50,42,Male,23,308,2022-01-18 03:13:03.391695848,0,15.09,control,0
51,31,Male,9,538,2022-01-18 11:36:35.297648824,0,24.39,treatment,0
52,67,Male,1,566,2022-01-18 20:00:07.203601801,0,38.68,control,0
53,26,Female,8,180,2022-01-19 04:23:39.109554777,0,19.6,treatment,1
54,43,Female,23,409,2022-01-19 12:47:11.015507754,1,24.72,treatment,0
55,19,Male,6,374,2022-01-19 21:10:42.921460730,0,21.82,treatment,1
56,37,Female,6,464,2022-01-20 05:34:14.827413706,0,33.22,control,1
57,45,Male,22,594,2022-01-20 13:57:46.733366683,0,37.71,treatment,0
58,64,Female,18,351,2022-01-20 22:21:18.639319659,0,37.72,control,0
59,24,Male,17,193,2022-01-21 06:44:50.545272636,0,23.18,control,1
60,61,Female,12,457,2022-01-21 15:08:22.451225612,0,33.11,control,0
61,25,Male,6,538,2022-01-21 23:31:54.357178589,0,22.8,control,0
62,64,Male,8,369,2022-01-22 07:55:26.263131565,0,28.32,treatment,0
63,52,Female,19,329,2022-01-22 16:18:58.169084542,0,34.16,treatment,0
64,31,Male,10,356,2022-01-23 00:42:30.075037518,0,38.49,treatment,1
65,34,Female,1,485,2022-01-23 09:06:01.980990495,0,12.8,treatment,1
66,53,Female,13,354,2022-01-23 17:29:33.886943471,0,30.79,control,0
67,67,Male,17,432,2022-01-24 01:53:05.792896448,0,41.26,control,0
68,57,Female,3,402,2022-01-24 10:16:37.698849424,0,31.86,control,1
69,21,Female,8,392,2022-01-24 18:40:09.604802401,0,30.66,control,0
70,19,Female,14,470,2022-01-25 03:03:41.510755377,1,27.82,treatment,1
71,23,Female,3,352,2022-01-25 11:27:13.416708354,0,41.05,treatment,1
72,59,Female,16,356,2022-01-25 19:50:45.322661330,0,25.87,control,0
73,21,Male,13,479,2022-01-26 04:14:17.228614307,0,29.2,control,0
74,46,Female,20,301,2022-01-26 12:37:49.134567283,0,26.24,control,0
75,35,Female,17,311,2022-01-26 21:01:21.040520260,0,30.87,control,0
76,43,Female,13,273,2022-01-27 05:24:52.946473236,1,25.49,treatment,1
77,61,Female,6,484,2022-01-27 13:48:24.852426213,0,22.75,control,0
78,51,Female,17,389,2022-01-27 22:11:56.758379189,1,25.39,treatment,0
79,27,Male,14,268,2022-01-28 06:35:28.664332166,1,20.12,treatment,0
80,53,Female,17,485,2022-01-28 14:59:00.570285142,0,23.5,control,0
81,31,Male,8,344,2022-01-28 23:22:32.476238119,0,29.53,control,1
82,48,Male,11,312,2022-01-29 07:46:04.382191095,0,44.81,treatment,0
83,65,Male,20,380,2022-01-29 16:09:36.288144072,0,15.85,treatment,0
84,32,Male,1,547,2022-01-30 00:33:08.194097048,1,25.43,control,0
85,25,Female,7,360,2022-01-30 08:56:40.100050025,0,32.0,treatment,0
86,31,Male,21,457,2022-01-30 17:20:12.006003001,1,20.02,control,0
87,40,Male,21,472,2022-01-31 01:43:43.911955978,0,53.09,control,0
88,57,Female,17,444,2022-01-31 10:07:15.817908954,1,28.27,treatment,0
89,38,Female,10,527,2022-01-31 18:30:47.723861931,1,25.24,treatment,0
90,33,Female,11,329,2022-02-01 02:54:19.629814907,0,11.31,control,0
91,62,Male,22,295,2022-02-01 11:17:51.535767884,0,32.72,control,0
92,35,Female,9,293,2022-02-01 19:41:23.441720860,0,23.96,treatment,1
93,64,Female,9,385,2022-02-02 04:04:55.347673837,0,40.31,treatment,1
94,41,Male,5,305,2022-02-02 12:28:27.253626813,1,24.01,treatment,0
95,43,Female,17,414,2022-02-02 20:51:59.159579790,0,25.45,treatment,0
96,42,Female,9,407,2022-02-03 05:15:31.065532766,0,25.32,control,0
97,62,Female,17,501,2022-02-03 13:39:02.971485743,0,37.89,control,0
98,58,Female,21,429,2022-02-03 22:02:34.877438719,0,33.32,control,0
99,46,Male,19,358,2022-02-04 06:26:06.783391696,0,44.05,treatment,0
100,32,Female,7,441,2022-02-04 14:49:38.689344672,0,28.28,treatment,1
101,62,Female,23,296,2022-02-04 23:13:10.595297649,0,36.9,control,1
102,18,Male,9,396,2022-02-05 07:36:42.501250625,0,37.04,treatment,0
103,42,Female,7,431,2022-02-05 16:00:14.407203602,0,35.39,treatment,1
104,24,Male,13,412,2022-02-06 00:23:46.313156578,0,25.92,treatment,0
105,26,Female,11,441,2022-02-06 08:47:18.219109555,0,33.79,treatment,1
106,41,Male,14,335,2022-02-06 17:10:50.125062531,0,29.22,treatment,0
107,18,Male,19,515,2022-02-07 01:34:22.031015508,0,29.01,treatment,0
108,61,Male,11,582,2022-02-07 09:57:53.936968484,0,23.55,control,1
109,25,Male,13,239,2022-02-07 18:21:25.842921460,0,13.04,control,0
110,41,Female,14,278,2022-02-08 02:44:57.748874437,0,39.99,control,0
111,28,Male,13,404,2022-02-08 11:08:29.654827413,1,19.05,control,0
112,68,Female,1,374,2022-02-08 19:32:01.560780390,0,19.25,treatment,1
113,34,Male,8,589,2022-02-09 03:55:33.466733366,1,27.6,control,0
114,25,Male,12,421,2022-02-09 12:19:05.372686343,0,40.15,control,0
115,52,Male,19,539,2022-02-09 20:42:37.278639319,0,36.22,control,0
116,52,Female,12,195,2022-02-10 05:06:09.184592296,0,22.87,control,0
117,50,Male,8,481,2022-02-10 13:29:41.090545272,0,24.14,treatment,0
118,22,Female,8,328,2022-02-10 21:53:12.996498249,0,25.62,treatment,0
119,59,Female,21,326,2022-02-11 06:16:44.902451225,0,36.89,control,0
120,56,Female,13,375,2022-02-11 14:40:16.808404202,0,33.83,control,1
121,58,Female,12,257,2022-02-11 23:03:48.714357178,0,52.32,treatment,1
122,45,Female,16,444,2022-02-12 07:27:20.620310155,0,16.87,treatment,1
123,24,Female,1,419,2022-02-12 15:50:52.526263131,0,29.58,control,0
124,26,Female,13,426,2022-02-13 00:14:24.432216108,0,14.58,treatment,0
125,25,Female,7,488,2022-02-13 08:37:56.338169084,0,34.77,treatment,0
126,29,Female,5,551,2022-02-13 17:01:28.244122061,0,38.54,control,0
127,51,Male,8,363,2022-02-14 01:25:00.150075037,0,41.54,treatment,1
128,50,Male,14,447,2022-02-14 09:48:32.056028014,0,31.51,control,1
129,65,Male,23,429,2022-02-14 18:12:03.961980990,0,14.69,control,0
130,40,Male,13,437,2022-02-15 02:35:35.867933967,1,21.36,treatment,0
131,41,Male,15,439,2022-02-15 10:59:07.773886943,0,33.49,treatment,0
132,54,Female,23,559,2022-02-15 19:22:39.679839920,0,21.96,treatment,0
133,52,Female,17,354,2022-02-16 03:46:11.585792896,0,27.88,treatment,0
134,61,Female,15,247,2022-02-16 12:09:43.491745873,0,19.78,treatment,0
135,57,Female,20,330,2022-02-16 20:33:15.397698849,0,25.1,treatment,0
136,39,Female,18,475,2022-02-17 04:56:47.303651826,0,37.3,control,0
137,44,Female,18,402,2022-02-17 13:20:19.209604802,0,35.44,treatment,1
138,52,Female,2,353,2022-02-17 21:43:51.115557779,0,18.84,control,0
139,18,Male,4,292,2022-02-18 06:07:23.021510755,0,24.36,treatment,0
140,52,Male,1,422,2022-02-18 14:30:54.927463732,0,30.46,treatment,0
141,54,Male,4,464,2022-02-18 22:54:26.833416708,0,31.81,treatment,0
142,64,Male,18,430,2022-02-19 07:17:58.739369685,0,24.7,treatment,0
143,31,Female,5,374,2022-02-19 15:41:30.645322661,0,33.81,treatment,1
144,20,Female,19,414,2022-02-20 00:05:02.551275638,0,29.72,control,0
145,18,Female,15,414,2022-02-20 08:28:34.457228614,0,9.39,control,0
146,22,Male,8,418,2022-02-20 16:52:06.363181591,0,25.43,control,1
147,43,Female,20,281,2022-02-21 01:15:38.269134567,0,25.2,treatment,0
148,31,Female,17,419,2022-02-21 09:39:10.175087544,1,15.79,treatment,0
149,56,Female,1,355,2022-02-21 18:02:42.081040520,0,35.57,treatment,1
150,44,Male,12,504,2022-02-22 02:26:13.986993497,1,30.09,control,0
151,26,Female,19,413,2022-02-22 10:49:45.892946473,0,33.51,control,0
152,32,Male,15,483,2022-02-22 19:13:17.798899450,0,29.41,treatment,0
153,32,Male,9,369,2022-02-23 03:36:49.704852426,0,31.01,control,1
154,43,Male,7,373,2022-02-23 12:00:21.610805403,0,25.09,treatment,0
155,59,Male,2,549,2022-02-23 20:23:53.516758379,0,29.51,treatment,1
156,30,Female,9,443,2022-02-24 04:47:25.422711356,0,39.2,control,0
157,68,Male,10,328,2022-02-24 13:10:57.328664332,0,30.9,control,0
158,49,Male,2,489,2022-02-24 21:34:29.234617309,1,22.75,control,0
159,56,Female,19,346,2022-02-25 05:58:01.140570285,0,26.17,control,1
160,66,Female,11,422,2022-02-25 14:21:33.046523262,0,38.42,treatment,1
161,69,Male,13,583,2022-02-25 22:45:04.952476238,0,19.75,treatment,1
162,49,Female,10,256,2022-02-26 07:08:36.858429215,0,23.58,control,0
163,21,Male,14,382,2022-02-26 15:32:08.764382191,0,19.29,control,0
164,47,Male,18,440,2022-02-26 23:55:40.670335168,0,31.61,control,0
165,54,Male,19,476,2022-02-27 08:19:12.576288144,1,27.56,control,0
166,40,Male,22,275,2022-02-27 16:42:44.482241121,0,27.37,treatment,1
167,56,Female,9,246,2022-02-28 01:06:16.388194097,0,21.44,treatment,1
168,62,Male,7,509,2022-02-28 09:29:48.294147074,0,43.09,treatment,1
169,32,Female,3,327,2022-02-28 17:53:20.200100050,1,28.75,treatment,1
170,60,Female,20,323,2022-03-01 02:16:52.106053027,0,32.22,treatment,1
171,46,Female,6,555,2022-03-01 10:40:24.012006003,0,28.48,treatment,1
172,53,Female,21,406,2022-03-01 19:03:55.917958979,0,35.35,treatment,0
173,30,Male,2,407,2022-03-02 03:27:27.823911956,0,32.09,control,0
174,49,Female,6,382,2022-03-02 11:50:59.729864932,0,26.15,treatment,1
175,24,Male,3,277,2022-03-02 20:14:31.635817909,0,27.49,control,0
176,68,Female,16,467,2022-03-03 04:38:03.541770885,1,24.53,control,0
177,39,Female,8,440,2022-03-03 13:01:35.447723862,1,22.17,control,0
178,45,Male,2,416,2022-03-03 21:25:07.353676838,0,27.63,treatment,1
179,19,Male,17,388,2022-03-04 05:48:39.259629815,0,39.23,treatment,0
180,59,Male,9,370,2022-03-04 14:12:11.165582791,0,21.73,treatment,1
181,62,Female,12,491,2022-03-04 22:35:43.071535768,1,25.53,treatment,1
182,23,Female,3,385,2022-03-05 06:59:14.977488744,0,23.61,control,0
183,45,Male,11,393,2022-03-05 15:22:46.883441721,0,15.71,treatment,1
184,45,Male,1,452,2022-03-05 23:46:18.789394697,0,34.37,control,0
185,61,Male,23,420,2022-03-06 08:09:50.695347674,0,43.03,treatment,0
186,61,Male,13,564,2022-03-06 16:33:22.601300650,0,23.15,treatment,0
187,37,Female,15,223,2022-03-07 00:56:54.507253627,0,17.44,control,0
188,47,Male,5,429,2022-03-07 09:20:26.413206603,0,33.64,control,0
189,28,Male,21,329,2022-03-07 17:43:58.319159580,1,27.71,control,0
190,45,Male,17,305,2022-03-08 02:07:30.225112556,0,34.29,treatment,1
191,42,Male,23,354,2022-03-08 10:31:02.131065533,0,39.21,treatment,0
192,56,Female,6,405,2022-03-08 18:54:34.037018509,0,32.64,control,0
193,50,Male,21,409,2022-03-09 03:18:05.942971486,0,36.48,treatment,0
194,18,Female,22,248,2022-03-09 11:41:37.848924462,0,36.53,control,0
195,44,Male,11,345,2022-03-09 20:05:09.754877439,0,37.92,treatment,0
196,69,Male,18,428,2022-03-10 04:28:41.660830415,0,30.36,control,0
197,30,Female,4,312,2022-03-10 12:52:13.566783392,1,29.26,control,0
198,58,Male,3,288,2022-03-10 21:15:45.472736368,0,31.32,treatment,0
199,20,Female,13,174,2022-03-11 05:39:17.378689345,0,33.13,control,0
200,56,Female,23,333,2022-03-11 14:02:49.284642321,0,54.41,treatment,1
201,23,Male,9,285,2022-03-11 22:26:21.190595298,0,31.93,treatment,1
202,25,Female,21,301,2022-03-12 06:49:53.096548274,0,18.02,control,0
203,44,Female,6,372,2022-03-12 15:13:25.002501251,1,23.49,control,0
204,26,Female,12,340,2022-03-12 23:36:56.908454227,0,27.52,treatment,0
205,54,Female,2,283,2022-03-13 08:00:28.814407204,0,27.88,treatment,0
206,50,Female,3,188,2022-03-13 16:24:00.720360180,1,25.5,control,0
207,68,Female,3,430,2022-03-14 00:47:32.626313157,0,39.04,control,0
208,59,Female,12,475,2022-03-14 09:11:04.532266133,0,29.15,control,1
209,61,Female,15,360,2022-03-14 17:34:36.438219110,0,18.87,treatment,1
210,41,Male,9,373,2022-03-15 01:58:08.344172086,0,30.79,treatment,1
211,32,Male,23,400,2022-03-15 10:21:40.250125063,0,25.65,treatment,0
212,49,Female,8,557,2022-03-15 18:45:12.156078039,0,31.68,control,0
213,49,Male,11,243,2022-03-16 03:08:44.062031016,0,29.03,control,0
214,41,Female,16,358,2022-03-16 11:32:15.967983992,0,39.73,treatment,1
215,58,Female,22,227,2022-03-16 19:55:47.873936968,0,32.2,treatment,0
216,69,Male,4,436,2022-03-17 04:19:19.779889945,0,25.68,control,0
217,66,Female,1,385,2022-03-17 12:42:51.685842921,0,18.92,treatment,0
218,66,Female,7,420,2022-03-17 21:06:23.591795898,1,24.87,control,0
219,69,Female,2,415,2022-03-18 05:29:55.497748874,0,29.64,control,0
220,29,Female,5,499,2022-03-18 13:53:27.403701851,0,27.9,control,0
221,56,Male,7,453,2022-03-18 22:16:59.309654827,0,36.2,treatment,1
222,19,Female,4,483,2022-03-19 06:40:31.215607804,0,18.94,treatment,1
223,20,Female,5,293,2022-03-19 15:04:03.121560780,1,20.95,control,0
224,66,Female,1,519,2022-03-19 23:27:35.027513757,0,30.42,control,0
225,54,Male,1,327,2022-03-20 07:51:06.933466733,0,25.52,treatment,0
226,66,Female,15,333,2022-03-20 16:14:38.839419710,0,27.15,control,0
227,34,Male,20,427,2022-03-21 00:38:10.745372686,0,29.52,treatment,0
228,66,Male,19,430,2022-03-21 09:01:42.651325663,0,35.49,treatment,0
229,19,Female,10,292,2022-03-21 17:25:14.557278639,0,29.2,treatment,0
230,19,Female,18,382,2022-03-22 01:48:46.463231616,0,14.24,control,0
231,45,Male,3,548,2022-03-22 10:12:18.369184592,0,25.18,control,1
232,40,Female,11,253,2022-03-22 18:35:50.275137569,0,33.97,control,1
233,54,Male,15,548,2022-03-23 02:59:22.181090545,0,36.1,control,1
234,49,Male,11,375,2022-03-23 11:22:54.087043522,0,36.54,treatment,0
235,50,Female,17,166,2022-03-23 19:46:25.992996498,1,30.67,control,0
236,18,Female,17,263,2022-03-24 04:09:57.898949475,0,30.95,treatment,1
237,36,Male,6,303,2022-03-24 12:33:29.804902451,0,32.11,control,1
238,19,Male,5,337,2022-03-24 20:57:01.710855428,0,21.89,control,0
239,61,Male,8,389,2022-03-25 05:20:33.616808404,0,12.6,control,0
240,43,Male,2,129,2022-03-25 13:44:05.522761381,1,18.42,control,1
241,49,Female,16,418,2022-03-25 22:07:37.428714357,0,24.39,control,0
242,23,Female,20,294,2022-03-26 06:31:09.334667334,0,19.12,treatment,0
243,49,Female,12,539,2022-03-26 14:54:41.240620310,0,27.66,control,0
244,21,Female,6,372,2022-03-26 23:18:13.146573287,0,26.3,control,0
245,28,Female,1,494,2022-03-27 07:41:45.052526263,0,37.5,control,0
246,34,Male,4,511,2022-03-27 16:05:16.958479240,0,22.25,control,0
247,55,Female,17,508,2022-03-28 00:28:48.864432216,0,31.12,control,1
248,41,Female,13,343,2022-03-28 08:52:20.770385193,0,26.64,treatment,0
249,22,Female,18,342,2022-03-28 17:15:52.676338169,0,21.95,control,0
250,69,Female,5,377,2022-03-29 01:39:24.582291146,0,24.18,treatment,1
251,51,Female,3,463,2022-03-29 10:02:56.488244122,0,13.59,control,0
252,23,Male,11,348,2022-03-29 18:26:28.394197099,0,35.99,treatment,0
253,39,Male,13,388,2022-03-30 02:50:00.300150075,0,41.22,control,0
254,28,Male,4,427,2022-03-30 11:13:32.206103052,0,27.86,control,0
255,65,Female,14,309,2022-03-30 19:37:04.112056028,0,30.23,treatment,1
256,33,Male,22,303,2022-03-31 04:00:36.018009005,0,27.63,control,0
257,50,Male,11,384,2022-03-31 12:24:07.923961981,1,30.2,treatment,1
258,26,Female,10,397,2022-03-31 20:47:39.829914957,1,27.65,control,0
259,23,Female,19,443,2022-04-01 05:11:11.735867934,0,32.55,treatment,0
260,33,Female,18,467,2022-04-01 13:34:43.641820910,0,6.7,treatment,0
261,46,Male,6,290,2022-04-01 21:58:15.547773887,0,21.72,treatment,0
262,20,Male,15,318,2022-04-02 06:21:47.453726863,0,13.58,control,0
263,37,Female,21,302,2022-04-02 14:45:19.359679840,0,42.44,treatment,0
264,53,Female,10,541,2022-04-02 23:08:51.265632816,0,28.63,control,1
265,36,Male,5,387,2022-04-03 07:32:23.171585793,1,15.14,treatment,0
266,43,Male,5,401,2022-04-03 15:55:55.077538769,0,27.17,treatment,1
267,20,Female,10,405,2022-04-04 00:19:26.983491746,0,38.82,treatment,0
268,36,Female,5,328,2022-04-04 08:42:58.889444722,0,36.89,control,0
269,37,Male,3,556,2022-04-04 17:06:30.795397699,0,28.28,control,0
270,49,Female,23,441,2022-04-05 01:30:02.701350675,0,43.74,control,1
271,24,Male,6,403,2022-04-05 09:53:34.607303652,0,31.48,treatment,0
272,69,Male,4,289,2022-04-05 18:17:06.513256628,0,18.32,control,0
273,58,Male,18,283,2022-04-06 02:40:38.419209605,0,30.8,control,1
274,50,Male,9,369,2022-04-06 11:04:10.325162581,0,34.14,treatment,1
275,57,Female,17,330,2022-04-06 19:27:42.231115558,0,28.93,treatment,1
276,56,Female,13,293,2022-04-07 03:51:14.137068534,0,26.71,control,0
277,35,Male,15,362,2022-04-07 12:14:46.043021511,0,44.11,control,0
278,57,Male,20,378,2022-04-07 20:38:17.948974487,0,20.51,control,0
279,18,Male,17,414,2022-04-08 05:01:49.854927464,1,22.65,treatment,0
280,28,Male,13,349,2022-04-08 13:25:21.760880440,0,42.95,treatment,0
281,45,Male,16,299,2022-04-08 21:48:53.666833417,1,20.59,treatment,0
282,42,Female,22,302,2022-04-09 06:12:25.572786393,1,19.03,treatment,0
283,67,Female,4,521,2022-04-09 14:35:57.478739370,0,26.98,treatment,0
284,40,Female,5,274,2022-04-09 22:59:29.384692346,0,39.85,control,1
285,48,Female,5,436,2022-04-10 07:23:01.290645323,1,22.36,control,0
286,47,Male,9,451,2022-04-10 15:46:33.196598299,0,19.66,control,0
287,59,Male,17,387,2022-04-11 00:10:05.102551276,0,40.86,treatment,1
288,52,Male,13,576,2022-04-11 08:33:37.008504252,1,23.42,treatment,0
289,24,Male,2,450,2022-04-11 16:57:08.914457229,0,30.15,control,0
290,33,Male,13,584,2022-04-12 01:20:40.820410205,0,37.46,control,0
291,43,Female,22,334,2022-04-12 09:44:12.726363182,0,38.26,control,1
292,65,Male,21,336,2022-04-12 18:07:44.632316158,0,27.98,treatment,0
293,69,Female,23,452,2022-04-13 02:31:16.538269135,0,28.74,treatment,1
294,66,Female,19,373,2022-04-13 10:54:48.444222111,0,34.71,treatment,0
295,19,Female,3,568,2022-04-13 19:18:20.350175088,0,16.97,treatment,1
296,18,Female,10,434,2022-04-14 03:41:52.256128064,0,27.17,treatment,1
297,65,Male,2,295,2022-04-14 12:05:24.162081041,0,20.4,control,0
298,29,Female,13,226,2022-04-14 20:28:56.068034017,0,41.39,control,0
299,22,Female,19,392,2022-04-15 04:52:27.973986994,0,27.08,treatment,0
300,54,Female,17,391,2022-04-15 13:15:59.879939970,0,32.21,treatment,0
301,49,Male,21,431,2022-04-15 21:39:31.785892946,0,28.25,control,0
302,26,Male,14,521,2022-04-16 06:03:03.691845922,0,27.73,treatment,0
303,58,Male,12,507,2022-04-16 14:26:35.597798900,1,24.83,treatment,0
304,52,Female,21,342,2022-04-16 22:50:07.503751876,0,24.15,control,0
305,36,Female,12,270,2022-04-17 07:13:39.409704852,0,28.41,treatment,1
306,65,Male,11,276,2022-04-17 15:37:11.315657828,0,28.35,treatment,0
307,33,Female,7,326,2022-04-18 00:00:43.221610806,0,26.61,control,0
308,20,Male,4,363,2022-04-18 08:24:15.127563782,0,33.13,treatment,0
309,37,Male,19,430,2022-04-18 16:47:47.033516758,0,26.42,treatment,0
310,41,Female,1,319,2022-04-19 01:11:18.939469734,0,42.89,control,0
311,50,Female,3,428,2022-04-19 09:34:50.845422712,0,35.03,control,0
312,41,Female,13,436,2022-04-19 17:58:22.751375688,0,19.21,treatment,0
313,69,Female,15,414,2022-04-20 02:21:54.657328664,0,34.41,control,1
314,28,Male,2,287,2022-04-20 10:45:26.563281640,0,24.48,control,0
315,66,Male,11,446,2022-04-20 19:08:58.469234618,1,36.11,treatment,0
316,25,Male,4,608,2022-04-21 03:32:30.375187594,0,24.15,control,0
317,53,Male,19,424,2022-04-21 11:56:02.281140570,0,12.44,treatment,0
318,55,Male,17,104,2022-04-21 20:19:34.187093546,0,29.83,control,0
319,57,Female,3,524,2022-04-22 04:43:06.093046524,1,30.29,control,0
320,37,Male,18,329,2022-04-22 13:06:37.998999500,0,33.36,treatment,1
321,52,Male,8,626,2022-04-22 21:30:09.904952476,1,22.12,treatment,0
322,65,Male,22,411,2022-04-23 05:53:41.810905452,0,25.17,treatment,1
323,42,Female,19,231,2022-04-23 14:17:13.716858430,0,44.6,control,0
324,52,Female,5,193,2022-04-23 22:40:45.622811406,0,20.09,treatment,0
325,42,Female,7,553,2022-04-24 07:04:17.528764382,0,25.01,treatment,1
326,46,Female,21,510,2022-04-24 15:27:49.434717358,0,21.03,control,0
327,35,Male,8,622,2022-04-24 23:51:21.340670336,0,46.33,control,0
328,63,Male,5,401,2022-04-25 08:14:53.246623312,0,40.82,control,0
329,35,Female,17,394,2022-04-25 16:38:25.152576288,1,28.2,treatment,0
330,19,Female,5,361,2022-04-26 01:01:57.058529264,0,23.4,control,0
331,52,Male,4,334,2022-04-26 09:25:28.964482242,1,30.06,control,1
332,33,Male,22,360,2022-04-26 17:49:00.870435218,0,25.59,treatment,1
333,58,Female,19,421,2022-04-27 02:12:32.776388194,0,21.66,control,0
334,53,Female,21,315,2022-04-27 10:36:04.682341170,1,17.46,control,0
335,50,Female,2,233,2022-04-27 18:59:36.588294148,0,38.04,treatment,1
336,21,Female,11,415,2022-04-28 03:23:08.494247124,0,45.58,control,0
337,50,Male,22,313,2022-04-28 11:46:40.400200100,0,17.64,treatment,0
338,31,Male,13,76,2022-04-28 20:10:12.306153076,0,21.67,treatment,0
339,38,Male,15,455,2022-04-29 04:33:44.212106054,0,31.71,treatment,0
340,65,Female,12,289,2022-04-29 12:57:16.118059030,0,17.36,treatment,1
341,37,Female,22,466,2022-04-29 21:20:48.024012006,0,31.92,treatment,0
342,25,Male,21,463,2022-04-30 05:44:19.929964982,1,33.09,control,1
343,24,Male,22,428,2022-04-30 14:07:51.835917958,0,35.61,treatment,1
344,20,Male,11,649,2022-04-30 22:31:23.741870936,1,28.42,treatment,1
345,34,Male,7,386,2022-05-01 06:54:55.647823912,0,25.72,treatment,0
346,50,Female,5,371,2022-05-01 15:18:27.553776888,0,28.55,treatment,0
347,65,Male,17,468,2022-05-01 23:41:59.459729864,0,20.56,control,0
348,29,Male,20,394,2022-05-02 08:05:31.365682842,0,33.71,control,0
349,68,Male,9,516,2022-05-02 16:29:03.271635818,1,29.78,control,1
350,39,Male,14,273,2022-05-03 00:52:35.177588794,0,33.7,treatment,0
351,39,Male,12,274,2022-05-03 09:16:07.083541770,0,24.44,control,0
352,63,Male,6,476,2022-05-03 17:39:38.989494748,0,37.96,control,0
353,47,Male,17,283,2022-05-04 02:03:10.895447724,0,48.93,treatment,0
354,55,Female,19,460,2022-05-04 10:26:42.801400700,1,24.93,treatment,1
355,55,Female,19,437,2022-05-04 18:50:14.707353676,1,24.54,control,0
